Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
2,1,1,5,8,4,1,7,2,2,20,15,149925.0,5
3,2,1,5,13,4,1,2,1,0,22,15,80317.0,7
1,1,1,5,13,6,1,7,1,0,14,10,78175.0,4
3,2,1,9,13,2,1,3,4,0,30,23,117798.0,7
2,1,1,9,9,4,2,5,1,0,14,7,53545.0,7
2,2,1,7,9,7,1,0,2,1,20,11,74963.0,9
1,2,1,9,12,4,1,2,1,0,7,3,33198.0,4
1,3,1,5,8,4,1,5,1,0,9,6,96381.0,3
0,2,1,7,13,4,1,5,1,1,6,2,48190.0,4
0,0,1,9,3,4,1,4,0,0,7,5,14303.0,2
1,2,1,6,3,4,1,5,1,0,11,3,56805.0,8
3,0,1,5,25,4,1,5,5,2,30,28,160000.0,2
1,1,1,9,13,4,1,0,0,0,9,2,38530.0,7
1,0,1,5,21,2,1,1,2,0,13,12,46439.0,1
2,1,1,9,25,4,1,3,4,2,22,17,148000.0,5
1,1,1,5,21,4,1,5,0,0,8,5,50678.0,3
0,2,1,9,15,4,1,0,1,1,6,3,63429.0,3
1,1,1,8,24,4,1,3,0,2,4,2,43448.0,2
3,2,1,6,9,4,1,2,1,1,30,22,74963.0,8
1,1,1,9,1,4,0,5,1,0,18,10,67466.0,8
1,2,1,9,3,4,1,0,1,2,17,6,44633.0,11
4,2,1,7,9,4,1,5,4,1,33,22,104343.0,11
1,2,1,9,24,4,1,3,1,0,9,7,68276.0,2
1,1,1,5,10,4,1,0,2,0,15,11,21810.0,4
2,1,1,8,25,5,1,5,4,2,26,21,120000.0,5
3,0,1,9,25,4,1,0,3,1,25,19,120000.0,6
0,0,1,9,12,4,1,0,1,0,1,0,21418.0,1
2,1,1,9,8,4,1,4,1,0,12,10,44978.0,2
2,0,1,6,9,4,1,2,1,0,30,23,58006.0,7
1,1,1,5,4,3,1,2,1,2,11,7,171008.0,4
1,0,1,1,4,4,1,4,1,2,10,7,68403.0,3
1,1,1,9,18,4,0,2,1,2,16,8,80317.0,8
